Entity,Code,Year,Population
World,OWID_WRL,1,188239088
World,OWID_WRL,100,195062192
World,OWID_WRL,200,202309552
World,OWID_WRL,300,205316560
World,OWID_WRL,400,208909840
World,OWID_WRL,500,210429840
World,OWID_WRL,600,212642768
World,OWID_WRL,700,225835008
World,OWID_WRL,800,240487648
World,OWID_WRL,900,268747456
World,OWID_WRL,1000,295040192
World,OWID_WRL,1100,352606912
World,OWID_WRL,1200,393081024
World,OWID_WRL,1300,392403520
World,OWID_WRL,1400,389774816
World,OWID_WRL,1500,461367648
World,OWID_WRL,1600,553956096
World,OWID_WRL,1700,603167552
World,OWID_WRL,1750,811562112
World,OWID_WRL,1800,989818304
World,OWID_WRL,1850,1262682112
World,OWID_WRL,1900,1650000000
World,OWID_WRL,1901,1659947520
World,OWID_WRL,1902,1669996544
World,OWID_WRL,1903,1680114944
World,OWID_WRL,1904,1690269440
World,OWID_WRL,1905,1700426240
World,OWID_WRL,1906,1710550656
World,OWID_WRL,1907,1720606976
World,OWID_WRL,1908,1730558976
World,OWID_WRL,1909,1740369408
World,OWID_WRL,1910,1750000000
World,OWID_WRL,1911,1759443072
World,OWID_WRL,1912,1768814592
World,OWID_WRL,1913,1778264832
World,OWID_WRL,1914,1787947136
World,OWID_WRL,1915,1798018432
World,OWID_WRL,1916,1808639488
World,OWID_WRL,1917,1819975424
World,OWID_WRL,1918,1832196096
World,OWID_WRL,1919,1845476992
World,OWID_WRL,1920,1860000000
World,OWID_WRL,1921,1875909120
World,OWID_WRL,1922,1893171584
World,OWID_WRL,1923,1911708672
World,OWID_WRL,1924,1931439872
World,OWID_WRL,1925,1952281984
World,OWID_WRL,1926,1974148992
World,OWID_WRL,1927,1996950912
World,OWID_WRL,1928,2020593536
World,OWID_WRL,1929,2044978048
World,OWID_WRL,1930,2070000000
World,OWID_WRL,1931,2095524352
World,OWID_WRL,1932,2121306496
World,OWID_WRL,1933,2147063296
World,OWID_WRL,1934,2172497152
World,OWID_WRL,1935,2197296384
World,OWID_WRL,1936,2221135616
World,OWID_WRL,1937,2243677440
World,OWID_WRL,1938,2264574208
World,OWID_WRL,1939,2283468800
World,OWID_WRL,1940,2300000000
World,OWID_WRL,1941,2314055168
World,OWID_WRL,1942,2326540544
World,OWID_WRL,1943,2338643968
World,OWID_WRL,1944,2351580160
World,OWID_WRL,1945,2366593024
World,OWID_WRL,1946,2384963584
World,OWID_WRL,1947,2408024320
World,OWID_WRL,1948,2437183232
World,OWID_WRL,1949,2473954560
World,OWID_WRL,1950,2536431104
World,OWID_WRL,1951,2584034048
World,OWID_WRL,1952,2630862080
World,OWID_WRL,1953,2677608960
World,OWID_WRL,1954,2724847104
World,OWID_WRL,1955,2773019904
World,OWID_WRL,1956,2822443008
World,OWID_WRL,1957,2873306112
World,OWID_WRL,1958,2925687040
World,OWID_WRL,1959,2979576064
World,OWID_WRL,1960,3034949888
World,OWID_WRL,1961,3091844096
World,OWID_WRL,1962,3150420992
World,OWID_WRL,1963,3211001088
World,OWID_WRL,1964,3273978112
World,OWID_WRL,1965,3339584000
World,OWID_WRL,1966,3407922944
World,OWID_WRL,1967,3478769920
World,OWID_WRL,1968,3551599104
World,OWID_WRL,1969,3625680896
World,OWID_WRL,1970,3700436992
World,OWID_WRL,1971,3775759872
World,OWID_WRL,1972,3851651072
World,OWID_WRL,1973,3927781120
World,OWID_WRL,1974,4003793920
World,OWID_WRL,1975,4079480064
World,OWID_WRL,1976,4154667008
World,OWID_WRL,1977,4229506048
World,OWID_WRL,1978,4304534016
World,OWID_WRL,1979,4380506112
World,OWID_WRL,1980,4458002944
World,OWID_WRL,1981,4536996864
World,OWID_WRL,1982,4617387008
World,OWID_WRL,1983,4699569152
World,OWID_WRL,1984,4784011776
World,OWID_WRL,1985,4870922240
World,OWID_WRL,1986,4960567808
World,OWID_WRL,1987,5052521984
World,OWID_WRL,1988,5145425920
World,OWID_WRL,1989,5237441024
World,OWID_WRL,1990,5327230976
World,OWID_WRL,1991,5414288896
World,OWID_WRL,1992,5498919936
World,OWID_WRL,1993,5581598208
World,OWID_WRL,1994,5663150080
World,OWID_WRL,1995,5744212992
World,OWID_WRL,1996,5824891904
World,OWID_WRL,1997,5905046016
World,OWID_WRL,1998,5984794112
World,OWID_WRL,1999,6064239104
World,OWID_WRL,2000,6143494144
World,OWID_WRL,2001,6222626816
World,OWID_WRL,2002,6301772800
World,OWID_WRL,2003,6381185024
World,OWID_WRL,2004,6461158912
World,OWID_WRL,2005,6541906944
World,OWID_WRL,2006,6623518208
World,OWID_WRL,2007,6705947136
World,OWID_WRL,2008,6789088768
World,OWID_WRL,2009,6872766976
World,OWID_WRL,2010,6956824064
World,OWID_WRL,2011,7041193984
World,OWID_WRL,2012,7125828096
World,OWID_WRL,2013,7210582016
World,OWID_WRL,2014,7295290880
World,OWID_WRL,2015,7379796992
World,OWID_WRL,2016,7464022016
World,OWID_WRL,2017,7547858944
World,OWID_WRL,2018,7631091200
World,OWID_WRL,2019,7713467904
